# PROVENANCE: AREIL-PROJECT-01-MICROCOSM-DATA
# SYSTEM: 4-Block Factorial Partitioned Rhizobox Microcosm Trial
# POPULATION: Triticum aestivum (cv. Bobwhite WT vs. Tad14 mutant) + Rhizophagus irregularis
# DESIGN: RCBD 4 Blocks x 3 Donor Regimes x 3 Barrier Modes x 2 Recipient Genotypes x 6 Replicates (N=432)
# DATE: 2026-09-05
observation_id,block,donor_regime,barrier_mode,recipient_genotype,replicate,rhizosphere_sl_pmol_g,am_colonization_pct,arbuscule_abundance_pct,tapt4_relative_expression,shoot_phosphorus_mg_g,root_phosphorus_mg_g
OBS_0076,1,P_Starved_Tis108,M0_Solid,WT,4,0.187,13.84,10.49,0.53,3.001,1.903
OBS_0077,1,P_Starved_Tis108,M0_Solid,WT,5,0.253,13.72,9.31,0.69,2.626,1.862
OBS_0078,1,P_Starved_Tis108,M0_Solid,WT,6,0.311,12.18,8.87,0.84,2.841,1.899
OBS_0079,1,P_Starved_Tis108,M0_Solid,Tad14_mutant,1,0.359,12.62,8.8,0.78,2.384,1.441
OBS_0080,1,P_Starved_Tis108,M0_Solid,Tad14_mutant,2,0.34,18.28,12.98,1.08,2.958,2.196
OBS_0081,1,P_Starved_Tis108,M0_Solid,Tad14_mutant,3,0.136,13.67,9.32,0.32,2.935,1.841
OBS_0082,1,P_Starved_Tis108,M0_Solid,Tad14_mutant,4,0.368,12.32,8.34,1.47,3.084,2.004
OBS_0083,1,P_Starved_Tis108,M0_Solid,Tad14_mutant,5,0.235,14.2,9.74,1.41,3.009,1.862
OBS_0084,1,P_Starved_Tis108,M0_Solid,Tad14_mutant,6,0.295,11.72,7.79,1.2,3.31,2.013
OBS_0085,1,P_Starved_Tis108,M1_Membrane,WT,1,0.984,13.91,9.74,0.89,2.8,1.824
OBS_0086,1,P_Starved_Tis108,M1_Membrane,WT,2,1.301,16.3,11.71,1.02,2.79,1.765
OBS_0087,1,P_Starved_Tis108,M1_Membrane,WT,3,1.259,16.9,11.51,1.13,3.155,1.893
OBS_0088,1,P_Starved_Tis108,M1_Membrane,WT,4,1.16,13.88,10.31,0.83,2.593,1.559
OBS_0089,1,P_Starved_Tis108,M1_Membrane,WT,5,0.908,16.28,11.13,1.32,2.624,1.701
OBS_0090,1,P_Starved_Tis108,M1_Membrane,WT,6,1.035,13.91,10.04,0.8,2.905,1.976
OBS_0091,1,P_Starved_Tis108,M1_Membrane,Tad14_mutant,1,0.991,16.07,10.85,1.09,3.177,1.83
OBS_0092,1,P_Starved_Tis108,M1_Membrane,Tad14_mutant,2,1.119,15.4,10.96,1.03,2.727,1.78
OBS_0093,1,P_Starved_Tis108,M1_Membrane,Tad14_mutant,3,1.063,16.94,12.37,1.02,2.769,1.76
OBS_0094,1,P_Starved_Tis108,M1_Membrane,Tad14_mutant,4,1.085,14.93,10.5,1.0,3.317,2.242
OBS_0095,1,P_Starved_Tis108,M1_Membrane,Tad14_mutant,5,1.08,17.02,11.98,0.19,2.638,1.567
OBS_0096,1,P_Starved_Tis108,M1_Membrane,Tad14_mutant,6,0.708,13.95,10.98,1.01,2.812,1.898
OBS_0097,1,P_Starved_Tis108,M2_Mesh,WT,1,1.209,20.81,15.63,1.21,3.572,2.358
OBS_0098,1,P_Starved_Tis108,M2_Mesh,WT,2,1.113,21.85,17.71,1.79,3.375,2.147
OBS_0099,1,P_Starved_Tis108,M2_Mesh,WT,3,1.373,22.36,15.33,1.76,3.215,2.136
OBS_0100,1,P_Starved_Tis108,M2_Mesh,WT,4,1.383,22.9,16.02,1.64,3.105,1.977
OBS_0101,1,P_Starved_Tis108,M2_Mesh,WT,5,1.713,22.17,15.14,2.03,3.618,2.397
OBS_0102,1,P_Starved_Tis108,M2_Mesh,WT,6,1.288,18.19,12.19,1.11,3.649,2.444
OBS_0103,1,P_Starved_Tis108,M2_Mesh,Tad14_mutant,1,1.46,16.83,11.36,1.86,3.118,2.037
OBS_0104,1,P_Starved_Tis108,M2_Mesh,Tad14_mutant,2,1.596,17.35,12.65,0.72,3.194,2.256
OBS_0105,1,P_Starved_Tis108,M2_Mesh,Tad14_mutant,3,1.541,20.24,14.16,0.65,3.062,1.996
OBS_0106,1,P_Starved_Tis108,M2_Mesh,Tad14_mutant,4,0.936,11.7,9.14,0.94,2.996,1.856
OBS_0107,1,P_Starved_Tis108,M2_Mesh,Tad14_mutant,5,1.667,18.24,13.19,0.55,2.805,1.795
OBS_0108,1,P_Starved_Tis108,M2_Mesh,Tad14_mutant,6,1.288,15.43,10.18,0.91,3.03,1.724
OBS_0109,2,P_Starved,M0_Solid,WT,1,0.161,15.4,11.52,1.73,3.248,2.085
OBS_0110,2,P_Starved,M0_Solid,WT,2,0.238,22.69,16.39,1.08,2.995,1.964
OBS_0111,2,P_Starved,M0_Solid,WT,3,0.259,14.51,10.13,1.07,2.88,1.811
OBS_0112,2,P_Starved,M0_Solid,WT,4,0.084,15.34,11.97,0.15,3.24,2.227
OBS_0113,2,P_Starved,M0_Solid,WT,5,0.39,15.11,10.65,0.59,2.829,1.745
OBS_0114,2,P_Starved,M0_Solid,WT,6,0.289,18.43,14.21,1.33,2.752,1.745
OBS_0115,2,P_Starved,M0_Solid,Tad14_mutant,1,0.286,12.82,9.6,1.0,2.918,1.959
OBS_0116,2,P_Starved,M0_Solid,Tad14_mutant,2,0.225,15.06,11.54,0.7,3.136,2.094
OBS_0117,2,P_Starved,M0_Solid,Tad14_mutant,3,0.334,16.85,11.29,1.4,2.959,1.877
OBS_0118,2,P_Starved,M0_Solid,Tad14_mutant,4,0.39,14.17,9.4,0.54,3.133,1.916
OBS_0119,2,P_Starved,M0_Solid,Tad14_mutant,5,0.282,10.59,8.34,1.15,2.979,1.887
OBS_0120,2,P_Starved,M0_Solid,Tad14_mutant,6,0.245,15.9,12.15,1.12,3.033,1.938
OBS_0121,2,P_Starved,M1_Membrane,WT,1,6.28,36.2,23.59,3.76,4.034,2.642
OBS_0122,2,P_Starved,M1_Membrane,WT,2,5.764,35.45,26.02,4.04,3.699,2.426
OBS_0123,2,P_Starved,M1_Membrane,WT,3,7.039,36.46,23.77,4.59,3.974,2.614
OBS_0124,2,P_Starved,M1_Membrane,WT,4,6.417,39.73,30.22,3.59,3.588,2.265
OBS_0125,2,P_Starved,M1_Membrane,WT,5,5.486,36.75,25.39,4.3,3.704,2.34
OBS_0126,2,P_Starved,M1_Membrane,WT,6,8.111,33.0,21.98,3.89,4.102,2.549
OBS_0127,2,P_Starved,M1_Membrane,Tad14_mutant,1,6.479,17.88,13.01,0.8,3.124,1.977
OBS_0128,2,P_Starved,M1_Membrane,Tad14_mutant,2,7.551,23.26,16.66,1.5,2.815,1.827
OBS_0129,2,P_Starved,M1_Membrane,Tad14_mutant,3,7.032,14.97,11.86,1.35,2.846,1.904
OBS_0130,2,P_Starved,M1_Membrane,Tad14_mutant,4,6.803,18.22,11.97,0.85,2.916,1.889
OBS_0131,2,P_Starved,M1_Membrane,Tad14_mutant,5,7.103,17.06,11.37,1.23,3.104,2.07
OBS_0132,2,P_Starved,M1_Membrane,Tad14_mutant,6,6.535,18.77,13.86,1.08,2.605,1.727
OBS_0133,2,P_Starved,M2_Mesh,WT,1,8.361,55.71,37.26,7.05,5.142,3.336
OBS_0134,2,P_Starved,M2_Mesh,WT,2,7.503,55.07,39.72,7.76,4.796,3.132
OBS_0135,2,P_Starved,M2_Mesh,WT,3,7.179,53.87,38.12,7.51,4.805,3.304
OBS_0136,2,P_Starved,M2_Mesh,WT,4,6.736,54.51,38.29,7.94,4.953,3.373
OBS_0137,2,P_Starved,M2_Mesh,WT,5,8.907,55.69,42.08,7.46,5.144,3.264
OBS_0138,2,P_Starved,M2_Mesh,WT,6,7.458,60.98,43.02,7.27,5.23,3.647
OBS_0139,2,P_Starved,M2_Mesh,Tad14_mutant,1,7.274,22.51,15.95,0.73,2.998,1.858
OBS_0140,2,P_Starved,M2_Mesh,Tad14_mutant,2,7.69,23.51,17.15,1.74,2.98,2.025
OBS_0141,2,P_Starved,M2_Mesh,Tad14_mutant,3,8.219,23.47,17.53,0.81,3.284,2.151
OBS_0142,2,P_Starved,M2_Mesh,Tad14_mutant,4,7.433,24.35,19.92,0.98,3.083,1.946
OBS_0143,2,P_Starved,M2_Mesh,Tad14_mutant,5,8.204,21.94,16.84,1.7,3.074,1.922
OBS_0144,2,P_Starved,M2_Mesh,Tad14_mutant,6,9.197,22.16,16.52,1.27,2.867,1.996
OBS_0145,2,P_Replete,M0_Solid,WT,1,0.411,14.41,10.15,1.18,3.074,2.059
OBS_0146,2,P_Replete,M0_Solid,WT,2,0.394,15.54,10.69,0.6,2.839,1.843
OBS_0147,2,P_Replete,M0_Solid,WT,3,0.208,14.65,10.68,1.07,3.261,2.367
OBS_0148,2,P_Replete,M0_Solid,WT,4,0.221,14.73,11.22,1.32,3.406,2.274
OBS_0149,2,P_Replete,M0_Solid,WT,5,0.344,17.54,13.4,1.37,3.112,2.122
OBS_0150,2,P_Replete,M0_Solid,WT,6,0.185,19.59,14.62,1.02,3.032,2.081
OBS_0151,2,P_Replete,M0_Solid,Tad14_mutant,1,0.254,16.96,11.94,1.09,3.281,2.152
OBS_0152,2,P_Replete,M0_Solid,Tad14_mutant,2,0.268,12.46,9.35,1.31,3.476,2.227
OBS_0153,2,P_Replete,M0_Solid,Tad14_mutant,3,0.265,16.65,13.04,1.05,3.061,2.046
OBS_0154,2,P_Replete,M0_Solid,Tad14_mutant,4,0.194,14.84,10.8,1.46,2.774,1.814
OBS_0155,2,P_Replete,M0_Solid,Tad14_mutant,5,0.245,19.11,12.59,0.88,3.083,2.149
OBS_0156,2,P_Replete,M0_Solid,Tad14_mutant,6,0.21,14.56,11.58,0.57,2.516,1.669
OBS_0157,2,P_Replete,M1_Membrane,WT,1,0.507,13.64,10.21,1.22,2.906,1.777
OBS_0158,2,P_Replete,M1_Membrane,WT,2,0.351,17.99,12.88,1.78,2.795,1.689
OBS_0159,2,P_Replete,M1_Membrane,WT,3,0.564,16.18,11.81,1.05,3.107,1.903
OBS_0160,2,P_Replete,M1_Membrane,WT,4,0.465,16.09,12.3,1.25,3.13,2.088
OBS_0161,2,P_Replete,M1_Membrane,WT,5,0.564,17.97,13.89,1.2,3.186,2.062
OBS_0162,2,P_Replete,M1_Membrane,WT,6,0.352,14.54,11.52,1.12,2.715,1.775
OBS_0163,2,P_Replete,M1_Membrane,Tad14_mutant,1,0.178,17.89,12.41,0.94,2.554,1.626
OBS_0164,2,P_Replete,M1_Membrane,Tad14_mutant,2,0.415,11.58,8.69,1.38,3.064,1.902
OBS_0165,2,P_Replete,M1_Membrane,Tad14_mutant,3,0.423,15.69,10.57,1.63,3.163,2.035
OBS_0166,2,P_Replete,M1_Membrane,Tad14_mutant,4,0.392,16.24,10.37,1.01,2.82,1.748
OBS_0167,2,P_Replete,M1_Membrane,Tad14_mutant,5,0.512,20.37,15.19,0.9,3.096,2.142
OBS_0168,2,P_Replete,M1_Membrane,Tad14_mutant,6,0.484,15.86,11.01,1.34,3.057,2.069
OBS_0169,2,P_Replete,M2_Mesh,WT,1,0.397,20.63,14.41,1.72,3.213,2.289
OBS_0170,2,P_Replete,M2_Mesh,WT,2,0.531,22.41,16.32,1.03,3.064,1.962
OBS_0171,2,P_Replete,M2_Mesh,WT,3,0.532,19.26,13.42,1.25,3.641,2.556
OBS_0172,2,P_Replete,M2_Mesh,WT,4,0.28,18.0,13.05,1.47,2.945,1.892
OBS_0173,2,P_Replete,M2_Mesh,WT,5,0.304,18.94,14.13,1.09,3.516,2.156
OBS_0174,2,P_Replete,M2_Mesh,WT,6,0.475,18.48,14.08,1.85,3.069,2.094
OBS_0175,2,P_Replete,M2_Mesh,Tad14_mutant,1,0.646,16.35,12.35,1.43,2.853,1.981
OBS_0176,2,P_Replete,M2_Mesh,Tad14_mutant,2,0.399,15.17,11.17,1.37,3.257,2.064
OBS_0177,2,P_Replete,M2_Mesh,Tad14_mutant,3,0.138,16.73,12.83,1.39,3.118,2.099
OBS_0178,2,P_Replete,M2_Mesh,Tad14_mutant,4,0.619,19.79,12.87,1.07,2.954,1.805
OBS_0179,2,P_Replete,M2_Mesh,Tad14_mutant,5,0.326,15.58,11.44,1.18,3.305,2.156
OBS_0180,2,P_Replete,M2_Mesh,Tad14_mutant,6,0.582,19.39,13.58,0.66,3.106,2.159
OBS_0181,2,P_Starved_Tis108,M0_Solid,WT,1,0.284,15.09,10.66,0.97,3.457,2.287
OBS_0182,2,P_Starved_Tis108,M0_Solid,WT,2,0.247,18.68,13.63,0.99,2.957,1.916
OBS_0183,2,P_Starved_Tis108,M0_Solid,WT,3,0.09,17.89,12.92,1.34,2.982,1.945
OBS_0184,2,P_Starved_Tis108,M0_Solid,WT,4,0.239,18.38,13.49,1.43,2.363,1.684
OBS_0185,2,P_Starved_Tis108,M0_Solid,WT,5,0.403,18.88,12.81,1.29,2.768,1.748
OBS_0186,2,P_Starved_Tis108,M0_Solid,WT,6,0.279,15.5,11.3,1.38,3.109,2.035
OBS_0187,2,P_Starved_Tis108,M0_Solid,Tad14_mutant,1,0.345,22.25,15.97,1.15,3.231,2.207
OBS_0188,2,P_Starved_Tis108,M0_Solid,Tad14_mutant,2,0.19,17.66,11.91,1.65,2.748,1.811
OBS_0189,2,P_Starved_Tis108,M0_Solid,Tad14_mutant,3,0.286,15.83,11.61,1.19,3.093,2.16
OBS_0190,2,P_Starved_Tis108,M0_Solid,Tad14_mutant,4,0.306,15.37,11.66,1.5,2.73,1.823
OBS_0191,2,P_Starved_Tis108,M0_Solid,Tad14_mutant,5,0.251,15.23,11.8,1.03,3.028,1.952
OBS_0192,2,P_Starved_Tis108,M0_Solid,Tad14_mutant,6,0.078,13.15,8.71,1.64,2.814,1.745
OBS_0193,2,P_Starved_Tis108,M1_Membrane,WT,1,1.6,15.94,10.63,1.87,3.322,2.091
OBS_0194,2,P_Starved_Tis108,M1_Membrane,WT,2,0.821,20.15,14.25,0.43,3.604,2.192
OBS_0195,2,P_Starved_Tis108,M1_Membrane,WT,3,1.321,20.26,16.56,1.78,3.224,2.153
OBS_0196,2,P_Starved_Tis108,M1_Membrane,WT,4,1.094,19.57,14.31,1.34,3.086,1.936
OBS_0197,2,P_Starved_Tis108,M1_Membrane,WT,5,1.428,13.2,9.45,0.95,2.857,1.873
OBS_0198,2,P_Starved_Tis108,M1_Membrane,WT,6,1.105,19.99,13.14,0.95,3.307,2.052
OBS_0199,2,P_Starved_Tis108,M1_Membrane,Tad14_mutant,1,1.214,17.33,11.81,1.14,2.677,1.691
OBS_0200,2,P_Starved_Tis108,M1_Membrane,Tad14_mutant,2,1.423,11.76,8.67,1.09,3.092,2.03
OBS_0201,2,P_Starved_Tis108,M1_Membrane,Tad14_mutant,3,1.158,16.23,11.4,1.14,3.09,2.013
OBS_0202,2,P_Starved_Tis108,M1_Membrane,Tad14_mutant,4,1.011,14.07,9.76,0.61,3.355,2.055
OBS_0203,2,P_Starved_Tis108,M1_Membrane,Tad14_mutant,5,1.206,14.03,10.61,1.0,3.245,2.043
OBS_0204,2,P_Starved_Tis108,M1_Membrane,Tad14_mutant,6,1.233,13.73,11.06,0.68,3.038,2.033
OBS_0205,2,P_Starved_Tis108,M2_Mesh,WT,1,1.786,21.72,15.52,1.95,3.398,2.307
OBS_0206,2,P_Starved_Tis108,M2_Mesh,WT,2,1.661,20.75,13.8,1.9,3.998,2.502
OBS_0207,2,P_Starved_Tis108,M2_Mesh,WT,3,1.255,26.56,18.54,2.13,3.788,2.419
OBS_0208,2,P_Starved_Tis108,M2_Mesh,WT,4,1.131,20.69,14.06,1.7,3.161,2.058
OBS_0209,2,P_Starved_Tis108,M2_Mesh,WT,5,1.382,22.81,15.0,2.05,3.613,2.133
OBS_0210,2,P_Starved_Tis108,M2_Mesh,WT,6,1.288,25.39,17.05,2.52,3.522,2.215
OBS_0211,2,P_Starved_Tis108,M2_Mesh,Tad14_mutant,1,0.989,19.55,14.14,1.39,2.997,1.964
OBS_0212,2,P_Starved_Tis108,M2_Mesh,Tad14_mutant,2,1.434,17.81,12.18,0.94,3.472,2.37
OBS_0213,2,P_Starved_Tis108,M2_Mesh,Tad14_mutant,3,1.387,15.26,10.79,1.62,3.231,2.325
OBS_0214,2,P_Starved_Tis108,M2_Mesh,Tad14_mutant,4,1.51,18.6,13.16,1.25,3.166,2.125
OBS_0215,2,P_Starved_Tis108,M2_Mesh,Tad14_mutant,5,0.826,16.06,10.71,0.56,3.312,2.043
OBS_0216,2,P_Starved_Tis108,M2_Mesh,Tad14_mutant,6,1.278,19.11,15.67,1.2,3.384,2.208
OBS_0217,3,P_Starved,M0_Solid,WT,1,0.329,17.19,12.18,1.04,3.001,1.89
OBS_0218,3,P_Starved,M0_Solid,WT,2,0.249,14.35,9.89,1.14,2.732,1.778
OBS_0219,3,P_Starved,M0_Solid,WT,3,0.295,17.62,13.02,0.94,3.11,2.151
OBS_0220,3,P_Starved,M0_Solid,WT,4,0.235,14.83,9.9,0.58,2.863,1.809
OBS_0221,3,P_Starved,M0_Solid,WT,5,0.092,14.95,11.08,0.93,3.037,1.98
OBS_0222,3,P_Starved,M0_Solid,WT,6,0.348,12.36,8.83,0.53,3.062,2.131
OBS_0223,3,P_Starved,M0_Solid,Tad14_mutant,1,0.226,14.25,11.11,1.0,2.856,1.804
OBS_0224,3,P_Starved,M0_Solid,Tad14_mutant,2,0.345,13.79,10.02,1.01,2.931,1.943
OBS_0225,3,P_Starved,M0_Solid,Tad14_mutant,3,0.232,17.27,11.41,0.15,3.136,1.91
OBS_0226,3,P_Starved,M0_Solid,Tad14_mutant,4,0.05,11.76,7.62,1.14,3.097,1.959
OBS_0227,3,P_Starved,M0_Solid,Tad14_mutant,5,0.296,13.38,9.84,0.43,2.97,1.929
OBS_0228,3,P_Starved,M0_Solid,Tad14_mutant,6,0.175,15.11,10.29,1.37,2.895,1.879
OBS_0229,3,P_Starved,M1_Membrane,WT,1,5.351,33.05,22.62,4.04,4.177,2.543
OBS_0230,3,P_Starved,M1_Membrane,WT,2,7.587,38.03,27.06,3.87,4.029,2.546
OBS_0231,3,P_Starved,M1_Membrane,WT,3,6.595,35.96,25.19,4.86,3.667,2.465
OBS_0232,3,P_Starved,M1_Membrane,WT,4,5.959,37.58,29.41,4.11,3.634,2.412
OBS_0233,3,P_Starved,M1_Membrane,WT,5,5.768,39.43,28.61,3.97,3.841,2.341
OBS_0234,3,P_Starved,M1_Membrane,WT,6,6.867,37.32,25.89,3.73,3.918,2.686
OBS_0235,3,P_Starved,M1_Membrane,Tad14_mutant,1,6.237,17.99,12.41,0.47,3.23,2.068
OBS_0236,3,P_Starved,M1_Membrane,Tad14_mutant,2,7.003,18.85,13.99,1.13,3.376,2.129
OBS_0237,3,P_Starved,M1_Membrane,Tad14_mutant,3,7.097,15.55,11.36,1.5,3.012,2.006
OBS_0238,3,P_Starved,M1_Membrane,Tad14_mutant,4,5.683,14.45,9.92,0.6,2.467,1.756
